"조회기간","시도","시군구","용도업종(소)","판매량"
"2016-10","서울특별시","구로구","금속비금속","39472"
"2016-10","서울특별시","구로구","농업.임업","18196"
"2016-10","서울특별시","구로구","시멘트","300388"
"2016-10","서울특별시","구로구","유리","5513"
"2016-10","서울특별시","구로구","고무.플라","256210"
"2016-10","서울특별시","구로구","화학제품","217161"
"2016-10","서울특별시","구로구","가죽.신발","49342"
"2016-10","서울특별시","구로구","의복.모피","267229"
"2016-10","서울특별시","구로구","섬유","114083"
"2016-10","서울특별시","구로구","음료품제조","6571"
"2016-10","서울특별시","구로구","식료품제조","2769612"
"2016-10","서울특별시","구로구","가구및기타","652180"
"2016-10","서울특별시","구로구","기타운송","8627"
"2016-10","서울특별시","구로구","자동차","85591"
"2016-10","서울특별시","구로구","의료.광학","223332"
"2016-10","서울특별시","구로구","영상.음향","375325"
"2016-10","서울특별시","구로구","전기기기","26950"
"2016-10","서울특별시","구로구","관공용","1294560"
"2016-10","서울특별시","구로구","수도","763971"
"2016-10","서울특별시","구로구","사업자용","220426"
"2016-10","서울특별시","구로구","순수써비스","67037713"
"2016-10","서울특별시","구로구","전철","19054281"
"2016-10","서울특별시","구로구","기타공공용","2073622"
"2016-10","서울특별시","구로구","국군용","16583"
"2016-10","서울특별시","금천구","가정용","21106140"
"2016-10","서울특별시","금천구","시멘트","54703"
"2016-10","서울특별시","금천구","유리","1722"
"2016-10","서울특별시","금천구","고무.플라","1616569"
"2016-10","서울특별시","금천구","화학제품","1254755"
"2016-10","서울특별시","금천구","석유정제","59550"
"2016-10","서울특별시","금천구","가죽.신발","20327"
"2016-10","서울특별시","금천구","의복.모피","1732430"
"2016-10","서울특별시","금천구","사무기기","207184"
"2016-10","서울특별시","금천구","기타기계","5784295"
"2016-10","서울특별시","금천구","조립금속","618346"
"2016-10","서울특별시","금천구","1차금속","555474"
"2016-10","서울특별시","금천구","출판.인쇄","3419675"
"2016-10","서울특별시","금천구","펄프.종이","325896"
"2016-10","서울특별시","금천구","목재.나무","3947"
"2016-10","서울특별시","금천구","금속비금속","609"
"2016-10","서울특별시","금천구","어업","8410"
"2016-10","서울특별시","금천구","섬유","416000"
"2016-10","서울특별시","금천구","음료품제조","45787"
"2016-10","서울특별시","금천구","식료품제조","597334"
"2016-10","서울특별시","금천구","가구및기타","2412851"
"2016-10","서울특별시","금천구","기타운송","1977"
"2016-10","서울특별시","금천구","자동차","396468"
"2016-10","서울특별시","금천구","의료.광학","1241563"
"2016-10","서울특별시","금천구","영상.음향","1966272"
"2016-10","서울특별시","금천구","전기기기","72386"
"2016-10","서울특별시","금천구","관공용","625353"
"2016-10","서울특별시","금천구","수도","304636"
"2016-10","서울특별시","금천구","사업자용","108984"
"2016-10","서울특별시","금천구","농업.임업","2853"
"2016-10","서울특별시","금천구","순수써비스","74801376"
"2016-10","서울특별시","금천구","기타공공용","722037"
"2016-10","서울특별시","금천구","국군용","80000"
"2016-10","서울특별시","노원구","가정용","50588157"
"2016-10","서울특별시","노원구","의복.모피","496194"
"2016-10","서울특별시","노원구","섬유","274366"
"2016-10","서울특별시","노원구","음료품제조","2219"
"2016-10","서울특별시","노원구","식료품제조","372189"
"2016-10","서울특별시","노원구","가구및기타","943518"
"2016-10","서울특별시","노원구","기타운송","0"
"2016-10","서울특별시","노원구","자동차","10684"
"2016-10","서울특별시","노원구","의료.광학","105304"
"2016-10","서울특별시","노원구","영상.음향","59448"
"2016-10","서울특별시","노원구","전기기기","5005"
"2016-10","서울특별시","노원구","기타기계","19280"
"2016-10","서울특별시","노원구","조립금속","11124"
"2016-10","서울특별시","노원구","1차금속","6096"
"2016-10","서울특별시","노원구","출판.인쇄","289310"
"2016-10","서울특별시","노원구","펄프.종이","8756"
"2016-10","서울특별시","노원구","목재.나무","2971"
"2016-10","서울특별시","노원구","어업","3780"
"2016-10","서울특별시","노원구","시멘트","42075"
"2016-10","서울특별시","노원구","유리","52074"
"2016-10","서울특별시","노원구","고무.플라","138068"
"2016-10","서울특별시","노원구","화학제품","48420"
"2016-10","서울특별시","노원구","가죽.신발","25724"
"2016-10","서울특별시","노원구","관공용","4188025"
"2016-10","서울특별시","노원구","수도","1222920"
"2016-10","서울특별시","노원구","사업자용","274877"
"2016-10","서울특별시","노원구","농업.임업","8699"
"2016-10","서울특별시","노원구","순수써비스","45135853"
"2016-10","서울특별시","노원구","기타공공용","6658576"
"2016-10","서울특별시","노원구","국군용","8999"
"2016-10","서울특별시","도봉구","가정용","31074435"
"2016-10","서울특별시","도봉구","순수써비스","26420986"
"2016-10","서울특별시","도봉구","어업","6314"
"2016-10","서울특별시","도봉구","펄프.종이","15407"
"2016-10","서울특별시","도봉구","시멘트","1927"
"2016-10","서울특별시","도봉구","유리","1058"
"2016-10","서울특별시","도봉구","고무.플라","178727"
"2016-10","서울특별시","도봉구","화학제품","75065"
"2016-10","서울특별시","도봉구","가죽.신발","61918"
"2016-10","서울특별시","도봉구","의복.모피","2477314"
"2016-10","서울특별시","도봉구","섬유","431617"
"2016-10","서울특별시","도봉구","음료품제조","141993"
